Cost name	Cost subcategory	Item	Units	Unit cost	Default value (2022 USD)	Reference	URL
Epidemiology training consumables	N/A	Cellular phone with key contacts	1	"$1,020.00 "	"$1,020.00 "	CDC Field Epidemiology Training Module; Based on a 12 month plan with 6gb data and 150 voice minutes. 	https://www.mtn.ng/device-financing/
Epidemiology training consumables	N/A	"Laptop computers with appropriate software (e.g., Epi Info, SAS, or R)"	1	$900.00 	$900.00 	CDC Field Epidemiology Training Module; MS Office $320 + average laptop $580. Rounded	https://www.microsoft.com/en-ng/microsoft-365/p/office-home-business-2021/cfq7ttc0hpn4 https://www.ocity.ng/laptop-prices-in-nigeria/
Epidemiology training consumables	N/A	Digital camera	1	$119.99 	$119.99 	"CDC Field Epidemiology Training Module; Cost of a small waterproof digital camera, for example,  Minolta MN30WP 21 MP / 1080P HD Waterproof Digital Camera (Teal) "	https://www.amazon.com/Minolta-MN30WP-Waterproof-Digital-Camera/dp/B0B5FJ8CZD/ref=sr_1_16
Epidemiology training consumables	N/A	Ballpoint pen	5	$0.26 	$1.30 	CDC Field Epidemiology Training Module; Cost from Amazon ($0.26/pen)	https://www.amazon.com/Paper-Mate-Ballpoint-Medium-3311131/dp/B00006IE5K
Epidemiology training consumables	N/A	Pencil	5	$0.21 	$1.05 	CDC Field Epidemiology Training Module; Cost from Amazon ($0.21/pencil)	https://www.amazon.com/Ticonderoga-Wood-Cased-Graphite-Pre-Sharpened-13830/dp/B006CSPZK4/ref=sr_1_6
Epidemiology training consumables	N/A	Eraser	5	$0.50 	$2.50 	GHSS Assumption; Cost from Amazon ($0.50/eraser)	https://www.amazon.com/Paper-Mate-Pearl-Erasers-Large/dp/B00094H4LU/ref=sr_1_5
Epidemiology training consumables	N/A	"Notebook (A4 hard cover, squared paper)"	2	$16.99 	$33.98 	CDC Field Epidemiology Training Module; Cost from Amazon	https://www.amazon.com/SuperBowell-Hardcover-Notebook-Expandable-Certified/dp/B08QMVFT49/ref=sxin_25_ac_d_rm
Epidemiology training consumables	N/A	Lab coats (case of 20)	0.05	$920.00 	$46.00 	Cost of Fisherbrand™ Unisex Cotton Lab Coats 	https://www.fishersci.com/shop/products/unisex-cotton-lab-coats-6/p-7113343#?keyword=lab%20coat
Epidemiology training consumables	N/A	Outbreak investigation kit	1	"$17,720.00 "	"$17,720.00 "	See unit costs below	
Epidemiology training consumables	N/A	"Disinfection, decontamination, and vector control kit"	1	$800.00 	$800.00 	See unit costs below	
Outbreak investigation kit	Basic consumables module	"Cotton wool, roll of 500g"	1	$11.91 	$11.91 	Communicable disease control in emergencies – A field manual (2005); Cost from Vivomed.com	https://www.vivomed.com/product/injury-treatment/dressings/cotton-wool
Outbreak investigation kit	Basic consumables module	Ballpoint pen	5	$0.26 	$1.30 	Communicable disease control in emergencies – A field manual (2005); Cost from Amazon ($0.26/pen)	https://www.amazon.com/Paper-Mate-Ballpoint-Medium-3311131/dp/B00006IE5K
Outbreak investigation kit	Basic consumables module	Pencil	5	$0.21 	$1.05 	Communicable disease control in emergencies – A field manual (2005); Cost from Amazon ($0.21/pencil)	https://www.amazon.com/Ticonderoga-Wood-Cased-Graphite-Pre-Sharpened-13830/dp/B006CSPZK4/ref=sr_1_6
Outbreak investigation kit	Basic consumables module	Eraser	5	$0.50 	$2.50 	Communicable disease control in emergencies – A field manual (2005); Cost from Amazon ($0.50/eraser)	https://www.amazon.com/Paper-Mate-Pearl-Erasers-Large/dp/B00094H4LU/ref=sr_1_5
Outbreak investigation kit	Basic consumables module	Felt-tip pen (waterproof)	5	$0.75 	$3.75 	Communicable disease control in emergencies – A field manual (2005); Cost from Amazon ($0.75/sharpie)	https://www.amazon.com/Permanent-Marker-Sharpie-Drying-Waterproof/dp/B07W2VM8M9/ref=sr_1_5
Outbreak investigation kit	Basic consumables module	"Marking pen, water-resistant ink, black and blue"	5	$0.75 	$3.75 	Communicable disease control in emergencies – A field manual (2005); Cost from Amazon ($0.75/sharpie)	https://www.amazon.com/Permanent-Marker-Sharpie-Drying-Waterproof/dp/B07W2VM8M9/ref=sr_1_5
