"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","DOCCONSULT","TOT","CAP","A","1960",2.7,
"AUS","DOCCONSULT","TOT","CAP","A","1961",2.8,
"AUS","DOCCONSULT","TOT","CAP","A","1962",2.9,
"AUS","DOCCONSULT","TOT","CAP","A","1963",2.9,
"AUS","DOCCONSULT","TOT","CAP","A","1964",2.9,
"AUS","DOCCONSULT","TOT","CAP","A","1965",2.8,
"AUS","DOCCONSULT","TOT","CAP","A","1966",2.8,
"AUS","DOCCONSULT","TOT","CAP","A","1967",2.9,
"AUS","DOCCONSULT","TOT","CAP","A","1968",3,
"AUS","DOCCONSULT","TOT","CAP","A","1969",3.2,
"AUS","DOCCONSULT","TOT","CAP","A","1970",3.1,
"AUS","DOCCONSULT","TOT","CAP","A","1971",3.3,
"AUS","DOCCONSULT","TOT","CAP","A","1972",3.3,
"AUS","DOCCONSULT","TOT","CAP","A","1973",3.3,
"AUS","DOCCONSULT","TOT","CAP","A","1974",3.4,
"AUS","DOCCONSULT","TOT","CAP","A","1975",3.6,
"AUS","DOCCONSULT","TOT","CAP","A","1976",3.6,
"AUS","DOCCONSULT","TOT","CAP","A","1977",3.7,
"AUS","DOCCONSULT","TOT","CAP","A","1978",3.8,
"AUS","DOCCONSULT","TOT","CAP","A","1979",3.9,
"AUS","DOCCONSULT","TOT","CAP","A","1980",4,
"AUS","DOCCONSULT","TOT","CAP","A","1981",4.5,
"AUS","DOCCONSULT","TOT","CAP","A","1982",4.5,
"AUS","DOCCONSULT","TOT","CAP","A","1983",5,
"AUS","DOCCONSULT","TOT","CAP","A","1984",5.1,
"AUS","DOCCONSULT","TOT","CAP","A","1985",5.4,
"AUS","DOCCONSULT","TOT","CAP","A","1986",5.5,
"AUS","DOCCONSULT","TOT","CAP","A","1987",5.7,
"AUS","DOCCONSULT","TOT","CAP","A","1988",5.9,
"AUS","DOCCONSULT","TOT","CAP","A","1989",6.2,
"AUS","DOCCONSULT","TOT","CAP","A","1990",6.1,
"AUS","DOCCONSULT","TOT","CAP","A","1991",6.3,
"AUS","DOCCONSULT","TOT","CAP","A","1992",6.6,
"AUS","DOCCONSULT","TOT","CAP","A","1993",6.8,
"AUS","DOCCONSULT","TOT","CAP","A","1994",6.5,
"AUS","DOCCONSULT","TOT","CAP","A","1995",6.7,
"AUS","DOCCONSULT","TOT","CAP","A","1996",6.8,
"AUS","DOCCONSULT","TOT","CAP","A","1997",6.7,
"AUS","DOCCONSULT","TOT","CAP","A","1998",6.7,
"AUS","DOCCONSULT","TOT","CAP","A","1999",6.6,
"AUS","DOCCONSULT","TOT","CAP","A","2000",6.4,
"AUS","DOCCONSULT","TOT","CAP","A","2001",6.4,
"AUS","DOCCONSULT","TOT","CAP","A","2002",6.3,
"AUS","DOCCONSULT","TOT","CAP","A","2003",5.7,"B"
"AUS","DOCCONSULT","TOT","CAP","A","2004",5.7,
"AUS","DOCCONSULT","TOT","CAP","A","2005",5.8,
"AUS","DOCCONSULT","TOT","CAP","A","2006",5.9,
"AUS","DOCCONSULT","TOT","CAP","A","2007",6,
"AUS","DOCCONSULT","TOT","CAP","A","2008",6.3,
"AUS","DOCCONSULT","TOT","CAP","A","2009",6.3,
"AUS","DOCCONSULT","TOT","CAP","A","2010",6.5,
"AUS","DOCCONSULT","TOT","CAP","A","2011",6.5,
"AUS","DOCCONSULT","TOT","CAP","A","2012",6.5,
"AUS","DOCCONSULT","TOT","CAP","A","2013",6.5,
"AUS","DOCCONSULT","TOT","CAP","A","2014",6.7,
"AUS","DOCCONSULT","TOT","CAP","A","2015",6.8,
"AUS","DOCCONSULT","TOT","CAP","A","2016",7,
"AUS","DOCCONSULT","TOT","CAP","A","2017",7.1,
"AUS","DOCCONSULT","TOT","CAP","A","2018",7.3,
"AUS","DOCCONSULT","TOT","CAP","A","2019",7.3,
"AUS","DOCCONSULT","TOT","CAP","A","2020",6.8,
"AUS","DOCCONSULT","TOT","CAP","A","2021",6.1,
"AUT","DOCCONSULT","TOT","CAP","A","1960",4.3,
"AUT","DOCCONSULT","TOT","CAP","A","1961",4.5,
"AUT","DOCCONSULT","TOT","CAP","A","1962",4.4,
"AUT","DOCCONSULT","TOT","CAP","A","1963",4.7,
"AUT","DOCCONSULT","TOT","CAP","A","1964",4.8,
"AUT","DOCCONSULT","TOT","CAP","A","1965",4.9,
"AUT","DOCCONSULT","TOT","CAP","A","1966",4.9,
"AUT","DOCCONSULT","TOT","CAP","A","1967",5,
"AUT","DOCCONSULT","TOT","CAP","A","1968",5,
"AUT","DOCCONSULT","TOT","CAP","A","1969",5.2,
"AUT","DOCCONSULT","TOT","CAP","A","1970",5.2,
"AUT","DOCCONSULT","TOT","CAP","A","1971",5.2,
"AUT","DOCCONSULT","TOT","CAP","A","1972",5.2,
"AUT","DOCCONSULT","TOT","CAP","A","1973",5.1,
"AUT","DOCCONSULT","TOT","CAP","A","1974",5.2,
"AUT","DOCCONSULT","TOT","CAP","A","1975",5.3,
"AUT","DOCCONSULT","TOT","CAP","A","1976",5.4,
"AUT","DOCCONSULT","TOT","CAP","A","1977",5.3,
"AUT","DOCCONSULT","TOT","CAP","A","1978",5.3,
"AUT","DOCCONSULT","TOT","CAP","A","1979",5.3,
"AUT","DOCCONSULT","TOT","CAP","A","1980",5.4,
"AUT","DOCCONSULT","TOT","CAP","A","1981",5.4,
"AUT","DOCCONSULT","TOT","CAP","A","1982",5.3,
"AUT","DOCCONSULT","TOT","CAP","A","1983",5.4,
"AUT","DOCCONSULT","TOT","CAP","A","1984",5.4,
"AUT","DOCCONSULT","TOT","CAP","A","1985",5.5,
"AUT","DOCCONSULT","TOT","CAP","A","1986",5.5,
"AUT","DOCCONSULT","TOT","CAP","A","1987",5.6,
"AUT","DOCCONSULT","TOT","CAP","A","1988",5.8,
"AUT","DOCCONSULT","TOT","CAP","A","1989",5.8,
"AUT","DOCCONSULT","TOT","CAP","A","1990",5.9,
"AUT","DOCCONSULT","TOT","CAP","A","1991",5.9,
"AUT","DOCCONSULT","TOT","CAP","A","1992",6,
"AUT","DOCCONSULT","TOT","CAP","A","1993",6.1,
"AUT","DOCCONSULT","TOT","CAP","A","1994",6.2,
"AUT","DOCCONSULT","TOT","CAP","A","1995",6.3,
"AUT","DOCCONSULT","TOT","CAP","A","1996",6.3,
"AUT","DOCCONSULT","TOT","CAP","A","1997",6.2,
"AUT","DOCCONSULT","TOT","CAP","A","1998",6.5,
"AUT","DOCCONSULT","TOT","CAP","A","1999",6.7,
"AUT","DOCCONSULT","TOT","CAP","A","2000",6.7,
"AUT","DOCCONSULT","TOT","CAP","A","2001",6.7,
"AUT","DOCCONSULT","TOT","CAP","A","2002",6.7,
"AUT","DOCCONSULT","TOT","CAP","A","2003",6.7,
"AUT","DOCCONSULT","TOT","CAP","A","2004",6.7,
"AUT","DOCCONSULT","TOT","CAP","A","2005",6.7,
"AUT","DOCCONSULT","TOT","CAP","A","2006",6.7,
"AUT","DOCCONSULT","TOT","CAP","A","2007",6.8,
"AUT","DOCCONSULT","TOT","CAP","A","2008",6.9,
"AUT","DOCCONSULT","TOT","CAP","A","2009",6.9,
"AUT","DOCCONSULT","TOT","CAP","A","2010",6.9,
"AUT","DOCCONSULT","TOT","CAP","A","2011",6.9,
"AUT","DOCCONSULT","TOT","CAP","A","2012",6.8,
"AUT","DOCCONSULT","TOT","CAP","A","2013",6.8,
"AUT","DOCCONSULT","TOT","CAP","A","2014",6.8,
"AUT","DOCCONSULT","TOT","CAP","A","2015",6.6,
"AUT","DOCCONSULT","TOT","CAP","A","2016",6.6,
"AUT","DOCCONSULT","TOT","CAP","A","2017",6.5,
"AUT","DOCCONSULT","TOT","CAP","A","2018",6.6,
"AUT","DOCCONSULT","TOT","CAP","A","2019",6.6,
"AUT","DOCCONSULT","TOT","CAP","A","2020",5.8,
"BEL","DOCCONSULT","TOT","CAP","A","2006",6.5,
"BEL","DOCCONSULT","TOT","CAP","A","2007",6.5,
"BEL","DOCCONSULT","TOT","CAP","A","2008",6.8,
"BEL","DOCCONSULT","TOT","CAP","A","2009",6.9,
"BEL","DOCCONSULT","TOT","CAP","A","2010",6.6,
"BEL","DOCCONSULT","TOT","CAP","A","2011",6.7,
"BEL","DOCCONSULT","TOT","CAP","A","2012",6.7,
"BEL","DOCCONSULT","TOT","CAP","A","2013",6.7,
"BEL","DOCCONSULT","TOT","CAP","A","2014",6.7,
"BEL","DOCCONSULT","TOT","CAP","A","2015",6.8,
"BEL","DOCCONSULT","TOT","CAP","A","2016",6.9,
"BEL","DOCCONSULT","TOT","CAP","A","2017",7,
"BEL","DOCCONSULT","TOT","CAP","A","2018",7.2,
"BEL","DOCCONSULT","TOT","CAP","A","2019",7.3,
"BEL","DOCCONSULT","TOT","CAP","A","2020",6.2,
"CAN","DOCCONSULT","TOT","CAP","A","1962",4,
"CAN","DOCCONSULT","TOT","CAP","A","1972",4.3,
"CAN","DOCCONSULT","TOT","CAP","A","1973",4.4,
"CAN","DOCCONSULT","TOT","CAP","A","1974",4.6,
"CAN","DOCCONSULT","TOT","CAP","A","1975",4.9,
"CAN","DOCCONSULT","TOT","CAP","A","1976",4.9,
