Region	Country	total_average	C.1.1	C.1.2	C.1	C.2.1	C.2.2	C.2.3	C.2	C.3.1	C.3.2	C.3	C.4.1	C.4.2	C.4.3	C.4.4	C.4.5	C.4	C.5.1	C.5.2	C.5	C.6.1	C.6.2	C.6	C.7.1	C.7.2	C.7.3	C.7	C.8.1	C.8.2	C.8.3	C.8	C.9.1	C.9.2	C.9.3	C.9	C.10.1	C.10.2	C.10.3	C.10	C.11.1	C.11.2	C.11.3	C.11	C.12.1	C.12	C.13.1	C.13	C.14.1	C.14	C.15.1	C.15
AFRO	Algeria	72	60	80	70	60	80	60	67	80	100	90	80	40	60	80	80	68	80	100	90	80	80	80	80	80	80	80	80	80	80	80	60	60	60	60	80	80	60	73	80	80	80	80	80	80	40	40	60	60	60	60
AFRO	Angola	58	60	20	40	80	100	100	93	60	80	70	80	60	60	60	80	68	80	80	80	60	100	80	40	40	80	53	100	60	100	87	40	40	40	40	80	80	60	73	20	20	40	27	60	60	20	20	40	40	40	40
AFRO	Benin 	41	20	20	20	20	80	20	40	40	60	50	40	40	20	60	60	44	80	60	70	60	40	50	20	80	80	60	80	20	40	47	40	20	40	33	60	40	60	53	0	0	20	7	60	60	40	40	20	20	20	20
AFRO	Botswana 	42	60	20	40	20	40	20	27	20	40	30	60	20	80	80	80	64	80	80	80	40	20	30	20	40	20	27	80	80	40	67	40	20	40	33	20	20	20	20	80	60	20	53	20	20	40	40	20	20	80	80
AFRO	Burkina Faso 	57	20	80	50	60	60	60	60	60	60	60	80	80	60	60	80	72	80	80	80	80	40	60	60	80	80	73	80	40	60	60	60	60	80	67	80	60	80	73	20	20	20	20	80	80	40	40	20	20	40	40
AFRO	Burundi 	42	40	20	30	40	20	20	27	20	60	40	60	20	80	80	80	64	80	80	80	40	20	30	20	100	20	47	80	40	60	60	40	60	60	53	80	60	80	73	20	40	20	27	40	40	20	20	20	20	20	20
AFRO	Cabo Verde	62	80	80	80	40	80	60	60	40	80	60	60	80	40	80	80	68	80	80	80	40	60	50	60	60	80	67	80	80	80	80	40	40	40	40	80	80	80	80	60	60	60	60	80	80	80	80	20	20	20	20
AFRO	Cameroon	40	20	20	20	60	60	20	47	40	40	40	60	60	80	80	60	68	60	60	60	40	20	30	60	80	20	53	80	40	20	47	40	20	20	27	20	40	20	27	40	20	20	27	80	80	20	20	20	20	40	40
AFRO	Central African Republic	34	20	20	20	20	20	20	20	20	40	30	60	20	20	20	20	28	80	40	60	60	20	40	20	40	20	27	60	20	40	40	20	20	20	20	40	60	40	47	20	20	20	20	60	60	40	40	20	20	40	40
AFRO	Chad 	40	60	20	40	40	40	40	40	40	40	40	60	60	60	60	80	64	80	60	70	60	20	40	40	60	20	40	80	20	20	40	80	40	40	53	40	20	40	33	20	20	20	20	20	20	40	40	20	20	40	40
