IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
HWF_0001,"Medical doctors (per 10,000)",numeric,AFR,Africa,Country,NER,Niger,Year,2020,TRUE,,,,,,,,,,,,,0.35,,,,,,0.35,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AFR,Africa,Country,MWI,Malawi,Year,2020,TRUE,,,,,,,,,,,,,0.5,,,,,,0.5,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AFR,Africa,Country,TCD,Chad,Year,2020,TRUE,,,,,,,,,,,,,0.61,,,,,,0.61,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AFR,Africa,Country,BDI,Burundi,Year,2020,TRUE,,,,,,,,,,,,,0.72,,,,,,0.72,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AFR,Africa,Country,ERI,Eritrea,Year,2020,TRUE,,,,,,,,,,,,,0.82,,,,,,0.82,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AFR,Africa,Country,GMB,Gambia,Year,2020,TRUE,,,,,,,,,,,,,0.82,,,,,,0.82,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AFR,Africa,Country,TGO,Togo,Year,2020,TRUE,,,,,,,,,,,,,0.83,,,,,,0.83,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2020,TRUE,,,,,,,,,,,,,0.85,,,,,,0.85,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2020,TRUE,,,,,,,,,,,,,1.06,,,,,,1.06,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AFR,Africa,Country,SWZ,Eswatini,Year,2020,TRUE,,,,,,,,,,,,,1.42,,,,,,1.42,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AFR,Africa,Country,UGA,Uganda,Year,2020,TRUE,,,,,,,,,,,,,1.54,,,,,,1.54,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AFR,Africa,Country,GHA,Ghana,Year,2020,TRUE,,,,,,,,,,,,,1.7,,,,,,1.7,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2020,TRUE,,,,,,,,,,,,,1.96,,,,,,1.96,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AFR,Africa,Country,ZWE,Zimbabwe,Year,2020,TRUE,,,,,,,,,,,,,1.99,,,,,,1.99,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AMR,Americas,Country,PRY,Paraguay,Year,2020,TRUE,,,,,,,,,,,,,10.52,,,,,,10.52,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,WPR,Western Pacific,Country,TUV,Tuvalu,Year,2020,TRUE,,,,,,,,,,,,,11.86,,,,,,11.86,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2020,TRUE,,,,,,,,,,,,,12.29,,,,,,12.29,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AMR,Americas,Country,GTM,Guatemala,Year,2020,TRUE,,,,,,,,,,,,,12.41,,,,,,12.41,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AMR,Americas,Country,GUY,Guyana,Year,2020,TRUE,,,,,,,,,,,,,14.24,,,,,,14.24,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,WPR,Western Pacific,Country,PLW,Palau,Year,2020,TRUE,,,,,,,,,,,,,17.68,,,,,,17.68,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2020,TRUE,,,,,,,,,,,,,17.74,,,,,,17.74,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,ALB,Albania,Year,2020,TRUE,,,,,,,,,,,,,18.75,,,,,,18.75,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2020,TRUE,,,,,,,,,,,,,2.54,,,,,,2.54,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,WPR,Western Pacific,Country,MYS,Malaysia,Year,2020,TRUE,,,,,,,,,,,,,22.86,,,,,,22.86,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AMR,Americas,Country,COL,Colombia,Year,2020,TRUE,,,,,,,,,,,,,23.27,,,,,,23.27,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2020,TRUE,,,,,,,,,,,,,23.42,,,,,,23.42,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AFR,Africa,Country,MUS,Mauritius,Year,2020,TRUE,,,,,,,,,,,,,27.13,,,,,,27.13,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2020,TRUE,,,,,,,,,,,,,27.38,,,,,,27.38,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,MNE,Montenegro,Year,2020,TRUE,,,,,,,,,,,,,27.4,,,,,,27.4,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AMR,Americas,Country,CHL,Chile,Year,2020,TRUE,,,,,,,,,,,,,28.35,,,,,,28.35,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,WPR,Western Pacific,Country,LAO,Lao People's Democratic Republic,Year,2020,TRUE,,,,,,,,,,,,,3.54,,,,,,3.54,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2020,TRUE,,,,,,,,,,,,,30.04,,,,,,30.04,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,MDA,Republic of Moldova,Year,2020,TRUE,,,,,,,,,,,,,31.03,,,,,,31.03,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AMR,Americas,Country,CRI,Costa Rica,Year,2020,TRUE,,,,,,,,,,,,,33.01,,,,,,33.01,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,LVA,Latvia,Year,2020,TRUE,,,,,,,,,,,,,34.05,,,,,,34.05,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,IRL,Ireland,Year,2020,TRUE,,,,,,,,,,,,,34.9,,,,,,34.9,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,WPR,Western Pacific,Country,NZL,New Zealand,Year,2020,TRUE,,,,,,,,,,,,,36.18,,,,,,36.18,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,ISR,Israel,Year,2020,TRUE,,,,,,,,,,,,,36.26,,,,,,36.26,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,POL,Poland,Year,2020,TRUE,,,,,,,,,,,,,37.71,,,,,,37.71,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,RUS,Russian Federation,Year,2020,TRUE,,,,,,,,,,,,,38.19,,,,,,38.19,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,ITA,Italy,Year,2020,TRUE,,,,,,,,,,,,,39.48,,,,,,39.48,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2020,TRUE,,,,,,,,,,,,,4.99,,,,,,4.99,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AMR,Americas,Country,ARG,Argentina,Year,2020,TRUE,,,,,,,,,,,,,40.6,,,,,,40.6,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,KAZ,Kazakhstan,Year,2020,TRUE,,,,,,,,,,,,,40.71,,,,,,40.71,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,NLD,Netherlands,Year,2020,TRUE,,,,,,,,,,,,,40.79,,,,,,40.79,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,WPR,Western Pacific,Country,AUS,Australia,Year,2020,TRUE,,,,,,,,,,,,,41.29,,,,,,41.29,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,CZE,Czechia,Year,2020,TRUE,,,,,,,,,,,,,41.53,,,,,,41.53,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,CHE,Switzerland,Year,2020,TRUE,,,,,,,,,,,,,43.8,,,,,,43.8,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,DEU,Germany,Year,2020,TRUE,,,,,,,,,,,,,44.35,,,,,,44.35,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AMR,Americas,Country,HND,Honduras,Year,2020,TRUE,,,,,,,,,,,,,5,,,,,,5,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,NOR,Norway,Year,2020,TRUE,,,,,,,,,,,,,50.47,,,,,,50.47,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,LTU,Lithuania,Year,2020,TRUE,,,,,,,,,,,,,50.76,,,,,,50.76,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,GEO,Georgia,Year,2020,TRUE,,,,,,,,,,,,,51.09,,,,,,51.09,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,AUT,Austria,Year,2020,TRUE,,,,,,,,,,,,,52.93,,,,,,52.93,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,WPR,Western Pacific,Country,WSM,Samoa,Year,2020,TRUE,,,,,,,,,,,,,6,,,,,,6,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2020,TRUE,,,,,,,,,,,,,6.23,,,,,,6.23,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2020,TRUE,,,,,,,,,,,,,6.67,,,,,,6.67,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,HUN,Hungary,Year,2020,TRUE,,,,,,,,,,,,,60.64,,,,,,60.64,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,BEL,Belgium,Year,2020,TRUE,,,,,,,,,,,,,60.79,,,,,,60.79,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,SEAR,South-East Asia,Country,IND,India,Year,2020,TRUE,,,,,,,,,,,,,7.35,,,,,,7.35,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2020,TRUE,,,,,,,,,,,,,7.56,,,,,,7.56,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,WPR,Western Pacific,Country,PHL,Philippines,Year,2020,TRUE,,,,,,,,,,,,,7.73,,,,,,7.73,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2020,TRUE,,,,,,,,,,,,,8.52,,,,,,8.52,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,WPR,Western Pacific,Country,FSM,Micronesia (Federated States of),Year,2020,TRUE,,,,,,,,,,,,,9.39,,,,,,9.39,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,WPR,Western Pacific,Country,TON,Tonga,Year,2020,TRUE,,,,,,,,,,,,,9.46,,,,,,9.46,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,SEAR,South-East Asia,Country,THA,Thailand,Year,2020,TRUE,,,,,,,,,,,,,9.5,,,,,,9.5,,,EN,2022-01-24T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EMR,Eastern Mediterranean,Country,IRQ,Iraq,Year,2020,TRUE,,,,,,,,,,,,,9.66,,,,,,9.66,,,EN,2022-01-24T08:00:00.000Z
HWF_0002,Medical doctors (number),numeric,SEAR,South-East Asia,Country,IND,India,Year,2020,TRUE,,,,,,,,,,,,,1014538,,,,,,1 014 538,,,EN,2022-01-24T08:00:00.000Z
HWF_0002,Medical doctors (number),numeric,EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2020,TRUE,,,,,,,,,,,,,10000,,,,,,10 000,,,EN,2022-01-24T08:00:00.000Z
HWF_0002,Medical doctors (number),numeric,WPR,Western Pacific,Country,TON,Tonga,Year,2020,TRUE,,,,,,,,,,,,,100,,,,,,100,,,EN,2022-01-24T08:00:00.000Z
HWF_0002,Medical doctors (number),numeric,AFR,Africa,Country,TCD,Chad,Year,2020,TRUE,,,,,,,,,,,,,1003,,,,,,1003,,,EN,2022-01-24T08:00:00.000Z
HWF_0002,Medical doctors (number),numeric,WPR,Western Pacific,Country,AUS,Australia,Year,2020,TRUE,,,,,,,,,,,,,105293,,,,,,105 293,,,EN,2022-01-24T08:00:00.000Z
