WHO Region	Country	JEE (first end date)	NAPHS (first completion date)	NAPHS published	NAPHS line-item costs	Notes
African	Angola	22-Nov-19	19-Nov-21	FALSE	FALSE	
African	Benin	26-May-17	27-Apr-18	TRUE	TRUE	NAPHS completed in French
African	Botswana	8-Dec-17	27-Aug-22	FALSE	FALSE	
African	Burkina Faso	3-Dec-17	12-Oct-18	FALSE	FALSE	NAPHS completed two separate times: 20-Mar-2020 and 12-Oct-2018
African	Burundi	11-Mar-18	7-Dec-18	FALSE	FALSE	
African	Cabo Verde	4-Nov-19	22-Apr-22	FALSE	FALSE	
African	Cameroon	25-Sep-17	14-Dec-18	FALSE	FALSE	
African	Central African Republic	26-Nov-18	26-Mar-21	FALSE	FALSE	NAPHS completed two separate times: 15-Dec-2022 and 26-Mar-2021
African	Chad	7-Aug-17	20-Apr-18	FALSE	FALSE	
African	Comoros	20-Aug-17	7-Sep-18	FALSE	FALSE	
African	"Congo, Republic of the"	10-Mar-19	NA	FALSE	FALSE	
African	Cote dIvoire	5-Dec-16	22-Mar-18	FALSE	FALSE	
African	"Congo, Democratic Republic of the"	11-Mar-18	17-May-19	FALSE	FALSE	NAPHS completed two separate times: 04-Mar-2022 and 17-May-2019
African	Eritrea	3-Oct-16	8-Apr-17	TRUE	TRUE	NAPHS completed two separate times: 31-May-2022 and 08-Apr-2017
African	Ethiopia	29-Feb-16	NA	FALSE	FALSE	
African	Gabon	1-Jul-19	10-Sep-21	FALSE	FALSE	
African	Gambia	24-Sep-17	18-Oct-21	FALSE	FALSE	
African	Ghana	10-Feb-17	22-Jun-18	FALSE	FALSE	
African	Guinea	23-Apr-17	19-Apr-19	FALSE	FALSE	
African	Guinea-Bissau	7-Jul-19	19-Dec-21	FALSE	FALSE	
African	Kenya	27-Feb-17	27-Jul-18	FALSE	FALSE	
African	Eswatini	8-Apr-18	23-Aug-19	FALSE	FALSE	WHO reports country reported as Swaziland
African	Lesotho	10-Jul-17	17 Jun 2022/ 13 Sep 2019	FALSE	FALSE	
African	Liberia	9-Sep-16	30-Nov-17	TRUE	TRUE	
African	Madagascar	14-Jul-17	NA	FALSE	FALSE	
African	Malawi	15-Feb-19	19-Feb-20	FALSE	FALSE	
African	Mali	30-Jun-17	13-Nov-20	FALSE	FALSE	
African	Mauritania	31-Mar-17	9-Mar-18	FALSE	FALSE	
African	Mauritius	9-Nov-18	25-Nov-22	FALSE	FALSE	
African	Mozambique	22-Apr-16	13-Oct-17	FALSE	FALSE	
African	Namibia	2-Dec-16	2-Nov-17	FALSE	FALSE	
African	Niger	20-Jul-18	23-Aug-19	FALSE	FALSE	
African	Nigeria	20-Jun-17	27-Jul-18	TRUE	TRUE	
African	Rwanda	18-May-18	10-May-19	FALSE	FALSE	NAPHS completed two separate times: 19-Nov-2022 and 10-May-2019
African	Sao Tome and Principe	17-May-19	NA	FALSE	FALSE	
African	Senegal	2-Dec-16	14-Sep-17	FALSE	FALSE	
African	Seychelles	9-Mar-18	NA	FALSE	FALSE	
African	Sierra Leone	4-Nov-16	10-Nov-17	TRUE	TRUE	
African	South Africa	1-Dec-17	27-Sep-18	FALSE	FALSE	NAPHS completed two separate times: 27-May-2022 and 27-Sep-2018
African	South Sudan	20-Oct-17	20-Sep-19	FALSE	FALSE	NAPHS completed two separate times: 14-Aug-2018 and 20-Sep-2019
African	Togo	20-Apr-18	7-Mar-21	FALSE	FALSE	
African	Uganda	30-Jun-17	13-Oct-17	TRUE	TRUE	
African	Tanzania (Zanzibar)	28-Apr-17	22-Jul-18	FALSE	FALSE	
African	Tanzania	26-Feb-16	18-Nov-16	TRUE	FALSE	"Summary published only, no line-item costs"
African	Zambia	11-Aug-17	8-Mar-19	FALSE	FALSE	
