pillar	capacity	indicator	score	attribute
Prevent	P1. Legal Instruments	P1.1. Legal instruments	1	The country has not conducted legal mapping of relevant legal instruments for IHR implementation
Prevent	P1. Legal Instruments	P1.1. Legal instruments	2	"The country has conducted a legal mapping of relevant legal instruments for IHR implementation at the national and intermediate levels and documented, where applicable"
Prevent	P1. Legal Instruments	P1.1. Legal instruments	3	"The country has conducted a legal analysis (legal mapping and legal assessment) and identified and reviewed gaps in the health sector and developed and/or revised the necessary legal instruments for IHR implementation at the national and intermediate levels, where applicable"
Prevent	P1. Legal Instruments	P1.1. Legal instruments	4	"The country has conducted a legal analysis (legal mapping and legal assessment) and identified and reviewed gaps in all sectors and across government levels and developed and/or revised the necessary legal instruments for IHR implementation at the national and intermediate levels, where applicable"
Prevent	P1. Legal Instruments	P1.1. Legal instruments	5	"The country has conducted a legal analysis (legal mapping and legal assessment) and identified and reviewed gaps in all sectors and across government levels and developed and/or revised the necessary legal instruments for IHR implementation in all sectors and across government levels, which are regularly evaluated using legal surveillance and improved based on lessons learned from real-world events and exercises (as applicable)"
Prevent	P1. Legal Instruments	P1.2. Gender equity and equality in health emergencies	1	No systematic assessment of gender gaps in any of the IHR capacities has been conducted
Prevent	P1. Legal Instruments	P1.2. Gender equity and equality in health emergencies	2	Systematic assessment of gender gaps has been conducted in at least one IHR capacity
Prevent	P1. Legal Instruments	P1.2. Gender equity and equality in health emergencies	3	An action plan to address identified high priority gender gaps in at least one IHR capacity is developed and incorporated in annual workplans
Prevent	P1. Legal Instruments	P1.2. Gender equity and equality in health emergencies	4	"The developed action plan(s) to address at least one IHR capacity is funded and being implemented, with mechanisms in place for monitoring, evaluation and reporting"
Prevent	P1. Legal Instruments	P1.2. Gender equity and equality in health emergencies	5	"Systematic gender analysis of IHR capacities is conducted, and action plans to address gender gaps and inequalities are developed, funded and operationalized in at least three IHR capacities, with mechanisms in place for monitoring, evaluation and reporting"
Prevent	P.2 Financing	P2.1. Financial resources for IHR implementation	1	"There is no financial planning, budget line or budgetary allocation available to finance IHR implementation. Financial resources for IHR implementation and national plans are through extrabudgetary means with no accountability mechanism in place"
Prevent	P.2 Financing	P2.1. Financial resources for IHR implementation	2	Financial planning is limited with a national level budgetary allocation or substantial external financing made for some of the relevant ministries and sectors and their respective ministries to support IHR implementation at the national level
Prevent	P.2 Financing	P2.1. Financial resources for IHR implementation	3	"Financial planning is based on estimated resource needs, and a budgetary allocation and/or substantial external financing made for relevant ministries and sectors is available to support IHR implementation at the national level. Limited monitoring and accountability mechanisms are in place"
Prevent	P.2 Financing	P2.1. Financial resources for IHR implementation	4	"Financial planning is aligned with national priorities. Sufficient budget allocation is available for relevant ministries and sectors to support IHR implementation at national, intermediate, and local levels. External financing is primarily used for capital expenditures. The budget is predictable, flexible, and distributed in a timely manner at the national, intermediate and local levels in all relevant ministries or sectors, with monitoring and accountability mechanisms in place"
Prevent	P.2 Financing	P2.1. Financial resources for IHR implementation	5	"Financial planning is aligned with national priorities. Sufficient budget allocation is available for all relevant ministries and sectors to support IHR implementation at national, intermediate, and local levels and service providers. The budget is fully executed, predictable, flexible budget and distributed in a timely manner. The budget is monitored against objectives, outputs and impact and accountability mechanisms are in place at each level for transparent and effective use of funds"
Prevent	P.2 Financing	P2.2. Financial resources for public health emergency response	1	Financial resources for responding to public health emergencies is not planned and identified. Funds are allocated and distributed in an ad hoc manner during a public health emergency
Prevent	P.2 Financing	P2.2. Financial resources for public health emergency response	2	"An emergency public financial resources mechanism exists or is pre-specified that can receive, distribute and use of funds for responding to public health emergencies, but activation and disbursement modalities are cumbersome and untimely"
Prevent	P.2 Financing	P2.2. Financial resources for public health emergency response	3	"An emergency public financial resources mechanism for responding to public health emergencies is identified/specified for immediate mobilization when needed, at the national and intermediate levels for all the relevant sectors in advance of a public health emergency, and procedures enable rapid activation and disbursement"
Prevent	P.2 Financing	P2.2. Financial resources for public health emergency response	4	"The emergency public financial resources mechanism for responding to public health emergencies is in place at national, intermediate and primary public health levels and allows for the timely distribution and execution of funds by all relevant sectors during a public health emergency"
Prevent	P.2 Financing	P2.2. Financial resources for public health emergency response	5	"The emergency public financial resources mechanism for responding to public health emergencies in place, with an appropriate emergency contingency, at national, intermediate and primary public health levels, that allows for the timely execution of funds by all relevant sectors during a public health emergency"
Prevent	"P.3 IHR Coordination, National IHR Focal Point Functions and Advocacy"	P3.1. National IHR Focal Point functions	1	"The terms of reference describing the roles and responsibilities of the established National IHR Focal Point are not in place or under development and represented by one individual who is entirely familiar with the mandatory NFP functions under the IHR but lacks the authority, capacity and resources to effectively carry out these functions, including the around-the-clock availability"
Prevent	"P.3 IHR Coordination, National IHR Focal Point Functions and Advocacy"	P3.1. National IHR Focal Point functions	2	"National IHR Focal Point is a designated centre and has a duty officer system to ensure availability at all times for urgent communications with WHO but legal, normative and institutional instruments and arrangements, including terms of reference describing the roles and responsibilities, are insufficient to communicate effectively with all levels and relevant sectors of the State Party’s administration"
Prevent	"P.3 IHR Coordination, National IHR Focal Point Functions and Advocacy"	P3.1. National IHR Focal Point functions	3	"National IHR Focal Point is a designated centre and has a clear legal and governmental mandate, with terms of reference describing the roles and responsibilities, is sufficiently organized, resourced and available at all times to communicate with WHO, but intersectoral collaboration and communication is inadequate to consolidate surveillance information or to obtain clearance from decision-makers in other domestic sectors"
Prevent	"P.3 IHR Coordination, National IHR Focal Point Functions and Advocacy"	P3.1. National IHR Focal Point functions	4	"National IHR Focal Point is a centre sufficiently organized, resourced and positioned within the government with levels of authority and institutional arrangements and instruments to access the relevant information sources and decision-making level within the national surveillance and response system"
Prevent	"P.3 IHR Coordination, National IHR Focal Point Functions and Advocacy"	P3.1. National IHR Focal Point functions	5	"National IHR Focal Point is a centre appropriately organized, positioned, trained and equipped with adequate levels of authority, efficient communication channels as well as administrative, human, technological, and financial resources to meaningfully engage with all relevant sectors and carry out the function as by IHR provisions and its functioning is exercised, reviewed, evaluated and updated on a regular basis and actions have been taken to strengthen and maintain its capacities"
Prevent	"P.3 IHR Coordination, National IHR Focal Point Functions and Advocacy"	P3.2. Multisectoral coordination mechanisms	1	Multisectoral coordination mechanisms for IHR implementation are not in place or under development. Multisectoral coordination activities occur in ad hoc basis
Prevent	"P.3 IHR Coordination, National IHR Focal Point Functions and Advocacy"	P3.2. Multisectoral coordination mechanisms	2	Multisectoral coordination mechanisms for IHR implementation are developed but not disseminated. Multisectoral coordination activities occur in ad hoc basis
Prevent	"P.3 IHR Coordination, National IHR Focal Point Functions and Advocacy"	P3.2. Multisectoral coordination mechanisms	3	"Multisectoral coordination mechanisms for IHR implementation are in place, disseminated and are being implemented at the national level"
Prevent	"P.3 IHR Coordination, National IHR Focal Point Functions and Advocacy"	P3.2. Multisectoral coordination mechanisms	4	"Multisectoral coordination mechanisms for IHR implementation are in place, disseminated and are being implemented at national and intermediate levels"
Prevent	"P.3 IHR Coordination, National IHR Focal Point Functions and Advocacy"	P3.2. Multisectoral coordination mechanisms	5	"Multisectoral coordination mechanisms for IHR implementation are being implemented at all levels, and are exercised, reviewed, evaluated and updated on a regular basis"
Prevent	"P.3 IHR Coordination, National IHR Focal Point Functions and Advocacy"	"P3.3. Strategic planning for IHR, preparedness or health security"	1	"A national action plan for IHR, preparedness or health security is not available or is under development"
Prevent	"P.3 IHR Coordination, National IHR Focal Point Functions and Advocacy"	"P3.3. Strategic planning for IHR, preparedness or health security"	2	"A national action plan for IHR, preparedness or health security is developed but not being implemented"
Prevent	"P.3 IHR Coordination, National IHR Focal Point Functions and Advocacy"	"P3.3. Strategic planning for IHR, preparedness or health security"	3	"A national action plan for IHR, preparedness or health security is developed and being implemented, but there is no routine monitoring or updating of activities. Decision-makers in government and/or legislative bodies at the national level are sensitized to IHR and/or health security on an ad hoc basis"
Prevent	"P.3 IHR Coordination, National IHR Focal Point Functions and Advocacy"	"P3.3. Strategic planning for IHR, preparedness or health security"	4	"A national action plan for IHR, preparedness or health security is implemented, activities include multiple sectors and activities are monitored and updated in the last two years. The plan and activities are updated based on assessments of capacity, such as the JEE or SPAR Decision-makers in government and/ or legislative bodies at the national level are sensitized and systematically engaged in IHR, the national plan for IHR, and health security issues"
Prevent	"P.3 IHR Coordination, National IHR Focal Point Functions and Advocacy"	"P3.3. Strategic planning for IHR, preparedness or health security"	5	"A national action plan for IHR, preparedness or health security is implemented, activities are monitored and updated at least annually based on a risk assessment, exercises (e.g., Simulation Exercise (SimEx20)) and lessons learned from real-world events (e.g., IARs or AARs). Decision-makers in government and/or legislative bodies at the national and intermediate levels are sensitized to and systematically engaged in IHR, the national plan for IHR, and health security issues"
Prevent	P.4 Antimicrobial Resistance (AMR)	P4.1. Multisectoral coordination on AMR	1	No multisectoral national action plan for AMR and no formal multisectoral governance or coordination mechanism on AMR exists
Prevent	P.4 Antimicrobial Resistance (AMR)	P4.1. Multisectoral coordination on AMR	2	"Multisectoral national AMR action plan under development; multisectoral coordination mechanism has been established, with government leadership"
Prevent	P.4 Antimicrobial Resistance (AMR)	P4.1. Multisectoral coordination on AMR	3	Multisectoral national AMR action plan developed; multisectoral coordination mechanism is functional with clear terms of reference and regular meetings
Prevent	P.4 Antimicrobial Resistance (AMR)	P4.1. Multisectoral coordination on AMR	4	"Multisectoral national AMR action plan approved and reflects GAP objectives, with a costed operational plan being implemented"
