line_item_id	jee3_metric_score_id	spar2_metric_score_id	hepr_metric_score_id	requirement	action	unit_cost	unit	description	administrative_level	global_health_emergency_corps_level	cost_type	custom_multiplier_1	custom_multiplier_1_units	custom_multiplier_2	custom_multiplier_2_units	relevant_references	optional_cost	notes_assumptions
c22959e4-f371-4234-9203-d97fc339bd53	JEE3.P1.1.2	SPAR2.C1.1.2	NA	Conduct legal mapping of relevant legal instruments at the national level	"Review and document relevant legal authorities for IHR implementation at the national-level, including information on what those authorities do or do not provide"	Annual salary 2 (mid) plus overhead (60.0%)	per year	"Salary support to review and document relevant legal authorities for IHR implementation at the national-level, including information on what those authorities do or do not provide"	National	Connected health emergency leadership	One-time	0.25	years			JEE 3.0	FALSE	Assume that understanding national-level roles and responsibilities is a critical part of effective-high level leadership for emergency corps
58aeb528-59e3-4108-acc5-39e1402013fb	JEE3.P1.1.2	SPAR2.C1.1.2	NA	Conduct legal mapping of relevant legal instruments at the national level	"Annual review and update of relevant legal authorities for IHR implementation at the national-level, including information on what those authorities do or do not provide"	Annual salary 2 (mid) plus overhead (60.0%)	per year	"Salary support to review and update documents outlining relevant legal authorities for IHR implementation at the national-level, including information on what those authorities do or do not provide"	National	Connected health emergency leadership	Recurring	0.083	years			JEE 3.0	FALSE	"No annual review workshop costed, given that this is costed for a score of '4'; Assume that understanding national-level roles and responsibilities is a critical part of effective-high level leadership for emergency corps"
68aeb528-59e3-4108-acc5-39e1402013fb	JEE3.P1.1.2	SPAR2.C1.1.2	NA	Conduct legal mapping of relevant legal instruments at the national level	Specialized analytics software or data entry software to support legal mapping	Specialized computer software license	per year	Specialized analytics software or data entry software to support legal mapping	National	Connected health emergency leadership	Recurring	1	license			JEE 3.0	FALSE	
504277c6-f16a-4444-a926-c9456d711ffd	JEE3.P1.1.2	SPAR2.C1.1.2	NA	Conduct legal mapping of relevant legal instruments at the intermediate level	"Review and document relevant legal authorities for IHR implementation at the intermediate-level, including information on what those authorities do or do not provide"	Annual salary 2 (mid) plus overhead (60.0%)	per year	"Salary support to review and document relevant legal authorities for IHR implementation at the intermediate-level, including information on what those authorities do or do not provide"	Intermediate	Health emergency corps	One-time	0.25	years			JEE 3.0	FALSE	"Assume each person is situated at the intermediate level (e.g., they sit in a state office themselves) and have experience navigating the legal / policy environment."
d43b44fd-690d-49be-b6c3-65d4e80b60fa	JEE3.P1.1.2	SPAR2.C1.1.2	NA	Conduct legal mapping of relevant legal instruments at the intermediate level	"Annual review and update of relevant legal authorities for IHR implementation at the intermediate-level, including information on what those authorities do or do not provide"	Annual salary 2 (mid) plus overhead (60.0%)	per year	"Salary support to review and update documents outlining relevant legal authorities for IHR implementation at the intermediate-level, including information on what those authorities do or do not provide"	Intermediate	Health emergency corps	Recurring	0.083	years			JEE 3.0	FALSE	"No annual review workshop costed, given that this is costed for a score of '4'"
78aeb528-59e3-4108-acc5-39e1402013fb	JEE3.P1.1.2	SPAR2.C1.1.2	NA	Conduct legal mapping of relevant legal instruments at the intermediate level	Specialized analytics software or data entry software to support legal mapping	Specialized computer software license	per year	Specialized analytics software or data entry software to support legal mapping	Intermediate	Health emergency corps	Recurring	1	license			JEE 3.0	FALSE	
7576a9c9-0f13-48ca-99b3-e51d37a577f3	JEE3.P1.1.3	SPAR2.C1.1.3	NA	Conduct legal assessment and surveillance and identify gaps in the health sector at the national level	Legal surveillance to identify relevant legal instruments within the health sector for IHR implementation at the national level  	Annual salary 2 (mid) plus overhead (60.0%)	per year	Salary support for legal surveillance to identify relevant legal instruments for IHR implementation at the national level	National	Connected health emergency leadership	One-time	0.25	years			JEE 3.0	FALSE	"JEE 3.0 notes that ""Legal assessment is a functional review to evaluate the effectiveness of legal instruments, analyzing gaps with the country� legal system and national context in mind. Assessment findings are designed to inform the refinement and revision of existing instruments. Assessments can include simulation exercises as part of wider emergency preparedness planning."" Simulation exercises are not explicitly costed in this costed step and are instead costed elsewhere; JEE score of '3' for this indicator focuses on within the health sector, JEE score of '4' for this indicator focuses on cross-sector efforts; Assume that understanding national-level legal environment is a critical part of effective-high level leadership for emergency corps"
c7be7388-d426-4ade-8813-bbcb13741290	JEE3.P1.1.3	SPAR2.C1.1.3	NA	Conduct legal assessment and surveillance and identify gaps in the health sector at the national level	Annual review and update of legal surveillance to identify relevant legal instruments within the health sector for IHR implementation at the national level	Annual salary 2 (mid) plus overhead (60.0%)	per year	Salary support for annual update of legal surveillance to identify new or revised legal instruments for IHR implementation at the national level	National	Connected health emergency leadership	Recurring	0.083	years			JEE 3.0	FALSE	"JEE 3.0 notes that ""Legal assessment is a functional review to evaluate the effectiveness of legal instruments, analyzing gaps with the country� legal system and national context in mind. Assessment findings are designed to inform the refinement and revision of existing instruments. Assessments can include simulation exercises as part of wider emergency preparedness planning."" Simulation exercises are not explicitly costed in this costed step and are instead costed elsewhere; JEE score of '3' for this indicator focuses on within the health sector, JEE score of '4' for this indicator focuses on cross-sector efforts; Assume that understanding national-level legal environment is a critical part of effective-high level leadership for emergency corps"
08a29b61-51fb-4e43-b182-5b7279d1ff81	JEE3.P1.1.3	SPAR2.C1.1.3	NA	Conduct legal assessment and surveillance and identify gaps in the health sector at the intermediate level	Legal surveillance to identify relevant legal instruments within the health sector for IHR implementation at the intermediate level	Annual salary 2 (mid) plus overhead (60.0%)	per year	Salary support for legal surveillance to identify relevant legal instruments for IHR implementation at the intermediate level	Intermediate	Health emergency corps	One-time	0.25	years			JEE 3.0	FALSE	"JEE score of '3' for this indicator focuses on within the health sector, JEE score of '4' for this indicator focuses on cross-sector efforts"
3532bacc-c607-4c6d-b4cf-54d54bf67438	JEE3.P1.1.3	SPAR2.C1.1.3	NA	Conduct legal assessment and surveillance and identify gaps in the health sector at the intermediate level	Annual review and update of legal surveillance to identify relevant legal instruments within the health sector for IHR implementation at the intermediate level	Annual salary 2 (mid) plus overhead (60.0%)	per year	Salary support for annual update of legal surveillance to identify new or revised legal instruments for IHR implementation at the intermediate level	Intermediate	Health emergency corps	Recurring	0.083	years			JEE 3.0	FALSE	"JEE score of '3' for this indicator focuses on within the health sector, JEE score of '4' for this indicator focuses on cross-sector efforts; assume this person is also ""available to guide IHR implementation and the management of health emergencies"" during these hours (contextual question #6 for this indicator)"
