metric_id	metric	pillar	capacity	indicator	score	attribute
JEE3.P1.1.1	JEE (3.0)	Prevent	P1. Legal Instruments	P1.1. Legal instruments	1	The country has not conducted legal mapping of relevant legal instruments for IHR implementation
JEE3.P1.1.2	JEE (3.0)	Prevent	P1. Legal Instruments	P1.1. Legal instruments	2	"The country has conducted a legal mapping of relevant legal instruments for IHR implementation at the national and intermediate levels and documented, where applicable"
JEE3.P1.1.3	JEE (3.0)	Prevent	P1. Legal Instruments	P1.1. Legal instruments	3	"The country has conducted a legal analysis (legal mapping and legal assessment) and identified and reviewed gaps in the health sector and developed and/or revised the necessary legal instruments for IHR implementation at the national and intermediate levels, where applicable"
JEE3.P1.1.4	JEE (3.0)	Prevent	P1. Legal Instruments	P1.1. Legal instruments	4	"The country has conducted a legal analysis (legal mapping and legal assessment) and identified and reviewed gaps in all sectors and across government levels and developed and/or revised the necessary legal instruments for IHR implementation at the national and intermediate levels, where applicable"
JEE3.P1.1.5	JEE (3.0)	Prevent	P1. Legal Instruments	P1.1. Legal instruments	5	"The country has conducted a legal analysis (legal mapping and legal assessment) and identified and reviewed gaps in all sectors and across government levels and developed and/or revised the necessary legal instruments for IHR implementation in all sectors and across government levels, which are regularly evaluated using legal surveillance and improved based on lessons learned from real-world events and exercises (as applicable)"
JEE3.P1.2.1	JEE (3.0)	Prevent	P1. Legal Instruments	P1.2. Gender equity and equality in health emergencies	1	No systematic assessment of gender gaps in any of the IHR capacities has been conducted
JEE3.P1.2.2	JEE (3.0)	Prevent	P1. Legal Instruments	P1.2. Gender equity and equality in health emergencies	2	Systematic assessment of gender gaps has been conducted in at least one IHR capacity
JEE3.P1.2.3	JEE (3.0)	Prevent	P1. Legal Instruments	P1.2. Gender equity and equality in health emergencies	3	An action plan to address identified high priority gender gaps in at least one IHR capacity is developed and incorporated in annual workplans
JEE3.P1.2.4	JEE (3.0)	Prevent	P1. Legal Instruments	P1.2. Gender equity and equality in health emergencies	4	"The developed action plan(s) to address at least one IHR capacity is funded and being implemented, with mechanisms in place for monitoring, evaluation and reporting"
JEE3.P1.2.5	JEE (3.0)	Prevent	P1. Legal Instruments	P1.2. Gender equity and equality in health emergencies	5	"Systematic gender analysis of IHR capacities is conducted, and action plans to address gender gaps and inequalities are developed, funded and operationalized in at least three IHR capacities, with mechanisms in place for monitoring, evaluation and reporting"
JEE3.P2.1.1	JEE (3.0)	Prevent	P.2 Financing	P2.1. Financial resources for IHR implementation	1	"There is no financial planning, budget line or budgetary allocation available to finance IHR implementation. Financial resources for IHR implementation and national plans are through extrabudgetary means with no accountability mechanism in place"
JEE3.P2.1.2	JEE (3.0)	Prevent	P.2 Financing	P2.1. Financial resources for IHR implementation	2	Financial planning is limited with a national level budgetary allocation or substantial external financing made for some of the relevant ministries and sectors and their respective ministries to support IHR implementation at the national level
JEE3.P2.1.3	JEE (3.0)	Prevent	P.2 Financing	P2.1. Financial resources for IHR implementation	3	"Financial planning is based on estimated resource needs, and a budgetary allocation and/or substantial external financing made for relevant ministries and sectors is available to support IHR implementation at the national level. Limited monitoring and accountability mechanisms are in place"
JEE3.P2.1.4	JEE (3.0)	Prevent	P.2 Financing	P2.1. Financial resources for IHR implementation	4	"Financial planning is aligned with national priorities. Sufficient budget allocation is available for relevant ministries and sectors to support IHR implementation at national, intermediate, and local levels. External financing is primarily used for capital expenditures. The budget is predictable, flexible, and distributed in a timely manner at the national, intermediate and local levels in all relevant ministries or sectors, with monitoring and accountability mechanisms in place"
JEE3.P2.1.5	JEE (3.0)	Prevent	P.2 Financing	P2.1. Financial resources for IHR implementation	5	"Financial planning is aligned with national priorities. Sufficient budget allocation is available for all relevant ministries and sectors to support IHR implementation at national, intermediate, and local levels and service providers. The budget is fully executed, predictable, flexible budget and distributed in a timely manner. The budget is monitored against objectives, outputs and impact and accountability mechanisms are in place at each level for transparent and effective use of funds"
JEE3.P2.2.1	JEE (3.0)	Prevent	P.2 Financing	P2.2. Financial resources for public health emergency response	1	Financial resources for responding to public health emergencies is not planned and identified. Funds are allocated and distributed in an ad hoc manner during a public health emergency
JEE3.P2.2.2	JEE (3.0)	Prevent	P.2 Financing	P2.2. Financial resources for public health emergency response	2	"An emergency public financial resources mechanism exists or is pre-specified that can receive, distribute and use of funds for responding to public health emergencies, but activation and disbursement modalities are cumbersome and untimely"
JEE3.P2.2.3	JEE (3.0)	Prevent	P.2 Financing	P2.2. Financial resources for public health emergency response	3	"An emergency public financial resources mechanism for responding to public health emergencies is identified/specified for immediate mobilization when needed, at the national and intermediate levels for all the relevant sectors in advance of a public health emergency, and procedures enable rapid activation and disbursement"
JEE3.P2.2.4	JEE (3.0)	Prevent	P.2 Financing	P2.2. Financial resources for public health emergency response	4	"The emergency public financial resources mechanism for responding to public health emergencies is in place at national, intermediate and primary public health levels and allows for the timely distribution and execution of funds by all relevant sectors during a public health emergency"
JEE3.P2.2.5	JEE (3.0)	Prevent	P.2 Financing	P2.2. Financial resources for public health emergency response	5	"The emergency public financial resources mechanism for responding to public health emergencies in place, with an appropriate emergency contingency, at national, intermediate and primary public health levels, that allows for the timely execution of funds by all relevant sectors during a public health emergency"
