category_sloan	category	subcategory	unit_cost	description	default_value	currency	unit	assumption	URL
Operating	Operating costs	Meeting expenses	Meeting - Small	"Cost to hold a small, full-day meeting, including those that are training sessions or workshops, assuming 15 attendees"	500	USD (2022)	per day	"Assumed to be half the cost of a medium meeting given number of meeting attendees; see ""Meeting-medium"" for assumptions."	yourbudgit.com/wp-content/uploads/2016/12/2017-Budget-Proposal-to-NASS.pdf
Operating	Operating costs	Meeting expenses	Meeting - Medium	"Cost to hold a medium, full-day meeting, including those that are training sessions or workshops, assuming 30 attendees"	1000	USD (2022)	per day	"Based on data from 2017 Nigerian Budget Proposal that identified a cost of 1,000,000 Naira for a ""two day workshop for registrars of health regulatory bodies, heads of radiology, radiotherapy and radiation safety officers"" (pg 1,305). Adjusted to 2022 USD based on a conversion rate of 427.60 Naira/1 USD and divided by 2 to estimate meeting costs from a single day [1,000,000/427.60/2]. Given order of magnitude estimate, cost was rounded to the nearest thousand"	yourbudgit.com/wp-content/uploads/2016/12/2017-Budget-Proposal-to-NASS.pdf
Operating	Operating costs	Meeting expenses	Meeting - Large	"Cost to hold a large, full-day meeting, including those that are training sessions or workshops, assuming 85 attendees"	3000	USD (2022)	per day	"Assumed to be three times the cost of a medium meeting given number of meeting attendees; see ""Meeting-medium"" for assumptions."	yourbudgit.com/wp-content/uploads/2016/12/2017-Budget-Proposal-to-NASS.pdf
Transport	Workforce	Salary support and overhead	Per diem for meeting - Domestic	Domestic per diem for attendees of meetings (cost per person)	40	USD (2022)	per day	"Assumed domestic refers to individuals traveling within Nigeria, outside of their regular post. Default domestic per diem (40.00 USD / N17500) based on August 2022 duty tour allowance (DTA) for federal officers in Nigeria at GL7-10. GL7-10 was chosen because it is the median pay grade, and is the grade of many public and medical health professionals in Nigeria, according to Akwataghibe et al. (2013). Per diems range from 23USD/N10000 to 87USD/N37500 depending on the grade-level of the officer."	https://nepc.gov.ng/cms/wp-content/uploads/2022/08/PSR-Allowances-presentation.pdf
Transport	Workforce	Salary support and overhead	Per diem for meeting - International	International per diem for attendees of meetings (cost per person)	197	USD (2022)	per day	"Assumed international refers to individuals traveling to Nigeria from elsewhere. Default international per diem (197.00 USD) is the official UN per diem for Abuja, Nigeria as of January 4, 2022"	https://www.dundex.net/Files/Images/PDF%20instant%20files/DSA-circular-April-2022.PDF
Personnel	Workforce	Consultant fees	Consultant fees (daily)	"Daily fees for a typical consultant to provide expert advice and support (e.g., review legislation, draft plans, facilitate exercises)"	750	USD (2022)	per day	Fees per day (750.00 USD) based on UN Level D maximum daily rate. The rate was established in October 2013 and has not changed (Source: ST/AI/2013/4). 	N/A
Transport	Workforce	Consultant fees and travel expenses	International travel	Per trip travel expenses for a typical consultant and/or other form of international travel	1410	USD (2022)	per trip	"Cost estimated based on data from Hopper's Consumer Airfare Index Report, which reported an average cost of international travel of $940/round trip in June 2022. Given that travel prices vary meanintfully based on current demand, travel origin and destination, and timing of prices, we assume that relevant flights for IHR-related activities travel longer distances on generally shorter notices to smaller (and thus more expensive) airline hubs. We assume an additional 50% cost of round-trip flights for a default international flight cost of $1410 (1.5*940)"	 https://media.hopper.com/research/consumer-airfare-index-report-march-2022
Personnel	Workforce	Salary support and overhead	Annual salary 1 (low) plus overhead (60.0%)	"Annual salary for an employee such as an office assistant, coordinator, medical technician, or other support staff and/or entry-level workers. Salaries vary substantially from country-to-country and, when possible, should be adjusted based on local knowledge of specific salary bands. Default salaries are set based on salary data specified by the International Civil Service Commission as of February 2022, as reported in the UN Common System of Salaries, Allowances, and Benefits (Annex 1). All salary unit costs also include 60% overhead, annually, to cover costs of technology and other office infrastructure."	61636	USD (2022)	per year	"Salaries vary substantially from country-to-country and, when possible, should be adjusted based on local knowledge of specific salary bands. Default salaries are set based on salary data specified by the International Civil Service Commission as of February 2022, as reported in the UN Common System of Salaries, Allowances, and Benefits (Annex 1, P-1 net salary plus 60% overhead). "	https://icsc.un.org/Resources/SAD/Booklets/sabeng.pdf?r=05248684
Personnel	Workforce	Salary support and overhead	Annual salary 2 (mid) plus overhead (60.0%)	"Annual salary for an employee such as a public health specialist, lawyer, nurse, physician. Salaries vary substantially from country-to-country and, when possible, should be adjusted based on local knowledge of specific salary bands. Default salaries are set based on salary data specified by the International Civil Service Commission as of February 2022, as reported in the UN Common System of Salaries, Allowances, and Benefits (Annex 1). All salary unit costs also include 60% overhead, annually, to cover costs of technology and other office infrastructure."	78806	USD (2022)	per year	"Salaries vary substantially from country-to-country and, when possible, should be adjusted based on local knowledge of specific salary bands. Default salaries are set based on salary data specified by the International Civil Service Commission as of February 2022, as reported in the UN Common System of Salaries, Allowances, and Benefits (Annex 1, P-2 net salary plus 60% overhead). "	https://icsc.un.org/Resources/SAD/Booklets/sabeng.pdf?r=05248684
Personnel	Workforce	Salary support and overhead	Annual salary 3 (high) plus overhead (60.0%)	"Annual salary for an employee for a national-level director, such as a legal or public health director, or for another high-ranking national coordinating official. Salaries vary substantially from country-to-country and, when possible, should be adjusted based on local knowledge of specific salary bands. Default salaries are set based on salary data specified by the International Civil Service Commission as of February 2022, as reported in the UN Common System of Salaries, Allowances, and Benefits (Annex 1). All salary unit costs also include 60% overhead, annually, to cover costs of technology and other office infrastructure."	120963	USD (2022)	per year	"Salaries vary substantially from country-to-country and, when possible, should be adjusted based on local knowledge of specific salary bands. Default salaries are set based on salary data specified by the International Civil Service Commission as of February 2022, as reported in the UN Common System of Salaries, Allowances, and Benefits (Annex 1, P-4 net salary plus 60% overhead). "	https://icsc.un.org/Resources/SAD/Booklets/sabeng.pdf?r=05248684
